"barrier_id","internal_name","watershed_group_code","structure_type","assessment_type_completed","next_steps","notes","supporting_links"
"197362","Puport Cr @ CP 376 (197362)","MORR","Stream crossing - CBS","Barrier assessment","Habitat confirmation (data deficient structures only)","","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198222"
"197365","Trib to Owen Cr @ Morice-Owen FSR (197365)","MORR","Stream crossing - CBS","Barrier assessment","Engage with partners","0.7 m falls 1 m upstream","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198225"
"197378","Trib to Owen Cr @ Klate Lk FSR (197378)","MORR","Stream crossing - CBS","Barrier assessment","Habitat confirmation (data deficient structures only)","","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=199214"
"197669","Riddeck Cr @ Private (197669)","MORR","Stream crossing - CBS","Barrier assessment","Habitat confirmation (data deficient structures only)","","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=198569"
"197924","Trib to Gosnell Cr @ Crystal Cr FSR (197924)","MORR","Stream crossing - CBS","Barrier assessment","Engage with partners","","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=199688"
"197926","Trib to Morice R @ Morice W FSR (197926)","MORR","Stream crossing - CBS","Barrier assessment","Habitat confirmation (data deficient structures only)","","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=199006"
"197934","Trib to Nanika R @ Spur (197934)","MORR","Stream crossing - CBS","Barrier assessment","Engage with partners","Temporary road to cutblock. Suspect main stream flows elsewhere. This is dry currently but wetland type depression. Channel poorly defined. Drains to ground.","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=199014"
"197951","Trib to Morice R @ False Tagit FSR (197571)","MORR","Stream crossing - CBS","Barrier assessment","Habitat confirmation (data deficient structures only)","","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=199031"
"197954","Trib to Morice R @ Chisholm FSR (197954)","MORR","Stream crossing - CBS","Barrier assessment","Habitat confirmation (data deficient structures only)","","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=199034"
"197965","Trib to Collins Lk @ Morice R FSR (197965)","MORR","Stream crossing - CBS","Barrier assessment","Habitat confirmation (data deficient structures only)","","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=199045"
"197989","Trib to Morice R @ Morice R FSR (197989)","MORR","Stream crossing - CBS","Barrier assessment","Habitat confirmation (data deficient structures only)","","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=199069"
"198000","McBride Cr @ Nanika FSR (198000)","MORR","Stream crossing - CBS","Habitat confirmation","Engage with partners","","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=199221"
"198081","Trib to Lamprey Cr @ 07 Rd (198081)","MORR","Stream crossing - CBS","Barrier assessment","Engage with partners","","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=199161"
"198022","Trib to Tagit Cr @ 5 Rd (198022) ","MORR","Stream crossing - CBS","Barrier assessment","Habitat confirmation (data deficient structures only)","","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=199102"
"198036","Trib to Thautil R @ Thautil FSR (198036)","MORR","Stream crossing - CBS","Barrier assessment","Habitat confirmation (data deficient structures only)","","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=199116"
"198038","Trib to Thautil R @ Thautil FSR (198038)","MORR","Stream crossing - CBS","Barrier assessment","Engage with partners","","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=199118"
"198056","Trib to Thautil R @ Thautil FSR (198056)","MORR","Stream crossing - CBS","Barrier assessment","Engage with partners","","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=199136"
"198057","Trib to Gabriel Cr @ Thautil FSR (198957)","MORR","Stream crossing - CBS","Barrier assessment","Habitat confirmation (data deficient structures only)","","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=199137"
"198060","Trib to Owen Cr @ Morice-Owen FSR (198060)","MORR","Stream crossing - CBS","Barrier assessment","Habitat confirmation (data deficient structures only)","","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=199140"
"198062","Trib to Morice R @ Morice W FSR (198062)","MORR","Stream crossing - CBS","Barrier assessment","Habitat confirmation (data deficient structures only)","","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=199142"
"198064","Trib to Lamprey Cr @ Spur (198064)","MORR","Stream crossing - CBS","Habitat confirmation","Engage with partners","","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?habitatConfirmationId=2002"
"198067","Trib to Lamprey Cr @ Morice R FSR (198067)","MORR","Stream crossing - CBS","Barrier assessment","Engage with partners","","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=199147"
"198069","Trib to Collins Lk @ Morice Nado (198069)","MORR","Stream crossing - CBS","Barrier assessment","Habitat confirmation (data deficient structures only)","","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=199149"
"198071","Trib to Collins Lk @ Spur off Morice Nado (198071)","MORR","Stream crossing - CBS","Barrier assessment","Habitat confirmation (data deficient structures only)","","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=199151"
"198082","Trib to Lamprey Cr @ Bill Nye (198082)","MORR","Stream crossing - CBS","Barrier assessment","Habitat confirmation (data deficient structures only)","","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=199162"
"198086","Trib to Lamprey Cr @ Spur (198086)","MORR","Stream crossing - CBS","Barrier assessment","Engage with partners","","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=199166"
"198934","Trib to Holland Cr @ Spur (198934)","MORR","Stream crossing - CBS","Barrier assessment","Habitat confirmation (data deficient structures only)","","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200218"
"198935","Trib to Knapper Cr @ Gold Cr FSR (198935)","MORR","Stream crossing - CBS","Habitat confirmation","Engage with partners","","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?habitatConfirmationId=2267"
"198936","Trib to Morice R @ Gold Cr FSR (198936)","MORR","Stream crossing - CBS","Barrier assessment","Habitat confirmation (data deficient structures only)","","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200220"
"198937","Trib to Morice R @ Gold Cr FSR (198937)","MORR","Stream crossing - CBS","Barrier assessment","Habitat confirmation (data deficient structures only)","Dry at time of assessment. Revisit at higher flows.","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200221"
"198939","Emil Cr @ Morice-Owen FSR (198939)","MORR","Stream crossing - CBS","Barrier assessment","Habitat confirmation (data deficient structures only)","Revisit during higher water","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200223"
"198940","Trib to Knapper Cr @ HM7504 (198940)","MORR","Stream crossing - CBS","Habitat confirmation","Engage with partners","","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?habitatConfirmationId=2266"
"198941","Trib to Houston Tommy Cr @ Holland Rd (198941)","MORR","Stream crossing - CBS","Barrier assessment","Engage with partners","","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200225"
"198942","Trib to Houston Tommy Cr @ Holland Rd (198942)","MORR","Stream crossing - CBS","Barrier assessment","Habitat confirmation (data deficient structures only)","","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200226"
