Barrier ID,Site Name,Structure Status,Rank Order (Spawning Habitat - All Species),Average Spawning Habitat Gain (km),Rank Order (Rearing Habitat - All Species),Average Rearing Habitat Gain (km)
198000,McBride Cr @ Nanika FSR (198000),Data-deficient barrier,1,5.95,1,35.21
1014001247,Trib to Gosnell Cr @ unnamed (14001247),Unassessed,2,4.39,3,6.04
1014000009,Trib to Morice R @ Industrial Access Rd (14000009),Unassessed,3,1.62,4,3.19
1014000207,Lamprey Cr @ Spur off Lamprey Spur 03 (14000207),Unassessed,4,3.05,2,5.89
1014001245,Trib to Gosnell Cr @ unnamed (13001245),Unassessed,5,1.75,7,3.81
197965,Trib to Collins Lk @ Morice R FSR (197965),Data-deficient barrier,6,1.35,12,1.36
198934,Trib to Holland Cr @ Spur (198934),Data-deficient barrier,7,0.985,6,2.79
198942,Trib to Houston Tommy Cr @ Holland Rd (198942),Data-deficient barrier,7,0.985,6,2.79
1014000040,Trib to McBride Lk @ HW469 Rd (14000207),Unassessed,8,3.4,28,3.4
1014001700,Trib to Houston Tommy Cr @ Unnamed (14001700),Unassessed,9,0.785,10,1.8
1014001143,Trib to Houston Tommy Cr @ Canyon FSR (14001143),Unassessed,9,0.785,45,1.42
198937,Trib to Morice R @ Gold Cr FSR (198937),Data-deficient barrier,10,1.15,11,2.72
1014000813,Trib to Morice R @ Morice R Rd (14000813),Unassessed,11,1.406666667,27,2.086666667
1024750701,Trib to Morice R @ Houston Forest Prods Railway (24750701),Unassessed,11,1.406666667,27,2.086666667
1014000004,Trib to Morice R @ Teer Rd (14000004),Unassessed,11,1.406666667,27,2.086666667
1014001576,Tsiyuh Cr @ HW442 Rd (14001576),Unassessed,12,1.73,33,1.73
1014000038,Tsiyuh Cr @ Spur off HW442 Rd (14000038),Unassessed,12,1.73,33,1.73
1014000819,Trib to Morice R @ Morice R FSR (14000819),Unassessed,13,0.82,38,1.02
1014000306,Fenton Cr @ CP394 (14000306),Unassessed,14,0.81,35,1.09
197934,Trib to Nanika R @ Spur (197934),Data-deficient barrier,15,0.73,47,0.73
198940,Trib to Knapper Cr @ HM7504 (198940),Data-deficient barrier,16,0.51,26,1.14
198935,Trib to Knapper Cr @ Gold Cr FSR (198935),Data-deficient barrier,16,0.51,26,1.14
1014000397,Trib to Gabriel Cr @ Morice W FSR (14000397),Unassessed,17,0.72,36,1.04
1014000768,Trib to Morice R @ Morice R Rd (14000768),Unassessed,18,0.49,24,0.728
1014000082,Trib to Morice R @ unnamed (14000082),Unassessed,18,0.49,24,0.728
1014000083,Trib to Morice R @ unnamed (14000083),Unassessed,18,0.49,24,0.728
1014000081,Trib to Morice R @ Gravel Reserve Access Rd (14000081),Unassessed,18,0.49,24,0.728
1014000080,Trib to Morice R @ Gravel Reserve Access Rd (14000080),Unassessed,18,0.49,24,0.728
1014000385,Gabriel Cr @ Morice W FSR (14000385),Unassessed,19,0.58,50,0.58
1014001195,Trib to Nado Cr @ HW190 Rd (14001195),Unassessed,20,0.57,5,4.45
1014000053,Trib to Tsiyuh Cr @ McBride Lk FSR (14000053),Unassessed,21,1.37,52,1.37
197378,Trib to Owen Cr @ Klate Lk FSR (197378),Data-deficient barrier,22,0.56,40,0.94
1014000646,Trib to Morice R @ Gold Cr FSR (14000646),Unassessed,23,0.476666667,19,1.106666667
1014000012,Trib to Morice R @ unnamed (14000012),Unassessed,23,0.476666667,19,1.106666667
1014000289,Trib to Morice R @ woodlot 121 (14000289),Unassessed,23,0.476666667,19,1.106666667
197360,Riddeck Cr @ Morice-Owen FSR (197360),Priority barrier,24,0.48,16,1.34
197370,Owen Cr @ Morice W FSR (197370),Priority barrier,25,0.43,21,0.91
198022,Trib to Tagit Cr @ 5 Rd (198022) ,Data-deficient barrier,26,0.5,60,0.5
1014001198,Trib to Gosnell Cr @ U. Gosnell FSR (14001198),Unassessed,27,0.49,49,0.68
1014001412,Trib to Nanika R @ HW120 Rd (14001412),Unassessed,28,0.45,64,0.45
197951,Trib to Morice R @ False Tagit FSR (197571),Data-deficient barrier,29,0.41,8,3.44
1014000271,Trib to Morice R @ Unnamed (14000271),Unassessed,31,0.3,25,1.58
198064,Trib to Lamprey Cr @ Spur (198064),Data-deficient barrier,33,0.26,46,0.77
197365,Trib to Owen Cr @ Morice-Owen FSR (197365),Data-deficient barrier,34,0.125,41,0.65
198057,Trib to Gabriel Cr @ Thautil FSR (198957),Data-deficient barrier,35,0.19,83,0.19
197379,Trib to Owen Cr. @ Morice-Owen FSR (197379),Priority barrier,36,0.12,42,0.84
198067,Trib to Lamprey Cr @ Morice R FSR (198067),Data-deficient barrier,37,0.1,94,0.1
1014001038,Trib to Houston Tommy Cr @ MH6469 Rd (14001038),Unassessed,40,0.04,20,1.71
198062,Trib to Morice R @ Morice W FSR (198062),Data-deficient barrier,42,0.03,44,0.78
1014000774,Trib to Morice R @ Morice R Rd (1400774),Unassessed,45,0.48,37,2.39
197669,Riddeck Cr @ Private (197669),Data-deficient barrier,47,0.12,51,0.615
198069,Trib to Collins Lk @ Morice Nado (198069),Data-deficient barrier,51,0.06,39,0.993333333
198071,Trib to Collins Lk @ Spur off Morice Nado (198071),Data-deficient barrier,51,0.06,39,0.993333333
1014001191,Trib to McBride Cr @ BLK 1 582 Main (14001191),Unassessed,,0,9,2.15
1014001160,Trib to McBride Cr @ Nanika FSR (14001160),Unassessed,,0,9,2.15
197954,Trib to Morice R @ Chisholm FSR (197954),Data-deficient barrier,,0,13,2.5
198086,Trib to Lamprey Cr @ Spur (198086),Data-deficient barrier,,0,14,2.5
198081,Trib to Lamprey Cr @ 07 Rd (198081),Data-deficient barrier,,0,15,2.32
1014001157,Trib to Morice R @ BLK 1 582 Main (14001157),Unassessed,,0,17,1.67
198060,Trib to Owen Cr @ Morice-Owen FSR (198060),Data-deficient barrier,,0,18,2.03
1014001345,Trib to Morice R @ unnamed (14001345),Unassessed,,0,22,1.61
197926,Trib to Morice R @ Morice W FSR (197926),Data-deficient barrier,,0,23,1.29
198038,Trib to Thautil R @ Thautil FSR (198038),Data-deficient barrier,,0,30,1.27
198036,Trib to Thautil R @ Thautil FSR (198036),Data-deficient barrier,,0,48,0.71
197989,Trib to Morice R @ Morice R FSR (197989),Data-deficient barrier,,0,65,0.49
198936,Trib to Morice R @ Gold Cr FSR (198936),Data-deficient barrier,,0,68,0.47
198082,Trib to Lamprey Cr @ Bill Nye (198082),Data-deficient barrier,,0,73,0.35
198939,Emil Cr @ Morice-Owen FSR (198939),Data-deficient barrier,,0,78,0.25
198056,Trib to Thautil R @ Thautil FSR (198056),Data-deficient barrier,,0,82,0.23
197924,Trib to Gosnell Cr @ Crystal Cr FSR (197924),Data-deficient barrier,,0,91,0.25
198941,Trib to Houston Tommy Cr @ Holland Rd (198941),Data-deficient barrier,,0,95,0.36
197362,Puport Cr @ CP 376 (197362),Data-deficient barrier,,0,100,0.04
