Name,Organization
Leanne Helkenberg,Office of the Wet’suwet’en
Samantha Vincent,Office of the Wet’suwet’en
Teagan O’Shaughnessy,Office of the Wet’suwet’en
Kimberly Alec,Office of the Wet’suwet’en
Betty Rebellato,Canadian Wildlife Federation
Nick Mazany-Wright,Canadian Wildlife Federation
Nicolas Lapointe,Canadian Wildlife Federation
Sarah Sra,Canadian Wildlife Federation
Matthew Cooper,Canadian Wildlife Federation
Laura Bernardi,Canadian Wildlife Federation
Olga Koppel,Canadian Wildlife Federation
Tomas Milla-Koch,Canadian Wildlife Federation
Andrew Pozzuoli,Canadian Wildlife Federation
